word,usage,main_tier,main_act,main_frames,main_recording,main_source,variants
他,761,ok,0.9702,31,desk0912_他.json,signtube:手語天地-2026-09,他_B:severe:0.2816 他_A:poor:0.3
很,134,ok,0.9946,58,desk0912_很.json,desk0912:混合來源-2026-09-12,
看,132,ok,1.0,118,desk0912_看.json,desk0912:混合來源-2026-09-12,看_N:poor:0.3305 看_S:poor:0.5
檢查,128,ok,0.9474,40,desk0912_檢查.json,desk0912:混合來源-2026-09-12,
好,122,ok,1.0,80,desk0912_好.json,desk0912:混合來源-2026-09-12,好_A:severe:0.0 好_B:poor:0.5
身體,112,ok,0.8189,62,desk0912_身體.json,desk0912:混合來源-2026-09-12,身體_A:poor:0.3871 身體_B:poor:0.4
為什麼,104,ok,0.9302,19,desk0912_為什麼.json,desk0912:混合來源-2026-09-12,為什麼_B:ok:0.6842 為什麼_A:severe:0.2923
晚上,92,ok,0.8351,119,desk0912_晚上.json,desk0912:混合來源-2026-09-12,晚上_A:severe:0.2689 晚上_B:poor:0.5682
坐車,90,ok,0.8235,55,desk0912_坐車.json,desk0912:混合來源-2026-09-12,
等,69,ok,1.0,116,desk0912_等.json,desk0912:混合來源-2026-09-12,等_B:poor:0.4052 等_A:severe:0.0118
服務,65,ok,0.8643,85,desk0912_服務.json,desk0912:混合來源-2026-09-12,服務_N:severe:0.042 服務_S:poor:0.4941
爸爸,56,ok,0.8762,15,desk0912_爸爸.json,signtube:手語天地-2026-09,
雲林,54,poor,0.4688,32,moc_G4D2P1.json,moc:G4D2P1,
不要,53,ok,0.9538,104,desk0912_不要.json,desk0912:混合來源-2026-09-12,不要_N:poor:0.3942 不要_S:severe:0.1111
台東,53,ok,0.6117,120,desk0912_台東.json,desk0912:混合來源-2026-09-12,
菜,49,ok,0.9399,125,desk0912_菜.json,desk0912:混合來源-2026-09-12,菜_N:poor:0.472 菜_S:severe:0.2389
情形,49,poor,0.8261,23,moc_G4D2P1.json,moc:G4D2P1,
美國,45,poor,0.4085,142,2331_美國_A.json,twtsl:2331,美國_A:poor:0.4085 美國_B:ok:0.7451
南投,45,poor,0.4412,136,pn_0529_南投縣1.json,placename:529,
金門,42,poor,0.5769,130,pn_0508_金門縣.json,placename:508,
嘉義_A(地名),40,severe,0.0855,117,0367_嘉義_A(地名).json,twtsl:367,
嘉義_B(地名),40,severe,0.2456,114,0368_嘉義_B(地名).json,twtsl:368,
苗栗,40,poor,0.3404,94,1321_苗栗.json,twtsl:1321,
澎湖,40,poor,0.44,125,1602_澎湖.json,twtsl:1602,
馬祖,40,severe,0.215,107,pn_0623_馬祖.json,placename:623,
基隆,40,poor,0.349,149,pn_0639_基隆1.json,placename:639,
嘉義,40,poor,0.383,94,pn_0831_嘉義1.json,placename:831,
中壢,38,poor,0.4811,106,pn_0128_中壢1.json,placename:128,中壢_A:severe:0.0125 中壢_B:severe:0.0
特別,34,poor,0.3028,109,2021_特別.json,twtsl:2021,特別_N:poor:0.3028 特別_S:severe:0.0159
困難,33,poor,0.3793,29,moc_G2D1P2.json,moc:G2D1P2,
痛,32,severe,0.2174,23,moc_G2D2P3.json,moc:G2D2P3,
謝謝,31,ok,0.8662,103,desk0912_謝謝.json,desk0912:混合來源-2026-09-12,謝謝_A:poor:0.3786 謝謝_B:severe:0.0
新聞,30,poor,0.3388,121,moe_04_0630.json,moe:vocabulary/04/0630,
下雨,27,poor,0.4318,132,1733_下雨.json,twtsl:1733,
哥哥,26,severe,0.1714,35,moc_G2D9P1.json,moc:G2D9P1,
臉,26,poor,0.4286,14,moc_G3D12P3.json,moc:G3D12P3,
美麗,24,severe,0.186,43,moc_G2D8P2.json,moc:G2D8P2,美麗_N:poor:0.5114 美麗_S:severe:0.2712
照顧,24,poor,0.4079,76,2153_照顧_B.json,moc:G4D2P1,照顧_A:severe:0.0 照顧_B:poor:0.4079
兩個,24,poor,0.3571,28,moc_G3D4P2.json,moc:G3D4P2,
聲音,23,poor,0.359,39,moc_G2D1P2.json,moc:G2D1P2,
國畫,23,poor,0.4039,203,moe_05_0193.json,moe:vocabulary/05/0193,
同意,22,severe,0.1421,190,moe_13_0258.json,moe:vocabulary/13/0258,同意_B:severe:0.0 同意_A:severe:0.0099
不喜歡,22,poor,0.459,61,0596_不喜歡_S.json,twtsl:595,不喜歡_N:poor:0.4697 不喜歡_S:poor:0.459
星期六,21,poor,0.4766,128,1843_星期六.json,twtsl:1843,星期六_N:poor:0.4766 星期六_S:poor:0.5556
男,20,poor,0.5114,88,1269_先生.json,twtsl:1269,
胖,20,poor,0.4182,55,1484_肥_B.json,twtsl:1483,胖_A:severe:0.0 胖_B:poor:0.4182
筷子,19,severe,0.28,100,0384_筷子.json,twtsl:384,筷子_N:severe:0.28 筷子_S:severe:0.0
假,19,poor,0.4091,22,moc_G4D11P2.json,moc:G4D11P2,
照片,19,poor,0.36,100,moe_04_0862.json,moe:vocabulary/04/0862,
在,18,poor,0.4198,81,0110_在.json,twtsl:110,
小,18,poor,0.3689,103,1214_小.json,twtsl:1214,
訓練,18,poor,0.5132,76,2270_訓練_A.json,moe:vocabulary/05/2191,訓練_A:poor:0.5132 訓練_B:ok:0.7739 訓練_C:severe:0.0567
用,18,poor,0.4195,174,twtsl2_用.json,twtsl:rescan-2026-09,
美,17,poor,0.5114,88,0175_美.json,twtsl:175,美_N:poor:0.5114 美_S:severe:0.2712
漂亮,17,poor,0.5114,88,0175_美_N.json,moc:G2D4P1,漂亮_N:poor:0.5114 漂亮_S:severe:0.2712
要不要,17,poor,0.3544,158,3533_要不要_S.json,twtsl:3534,要不要_S:poor:0.3544 要不要_N:poor:0.5147
第一次,17,severe,0.2963,27,moc_G4D11P2.json,moc:G4D11P2,
所以,17,severe,0.0851,94,moe_04_0552.json,moe:vocabulary/04/0552,
肉,16,poor,0.3659,123,1306_肉_A.json,twtsl:1306,肉_A:poor:0.3659 肉_B:ok:0.6351
奇怪,16,poor,0.5574,122,2072_奇怪.json,twtsl:2072,奇怪_N:poor:0.5574 奇怪_S:severe:0.2222
真,16,severe,0.2692,26,moc_G4D11P2.json,moc:G4D11P2,
