鍵,檔名,決定,理由,現用片,現用act,現用指節抖動°,現用手掌px,現用播放秒,新片act,新片指節抖動°,新片手掌px,新片播放秒,新片寫入區段
一次,一次.mp4,換新片,平手，指節抖動 11.3°→2.8°,moc_G2D5P1.json,1.0,11.28,70.0,1.0,1.0,2.77,157.4,1.618,1.451-3.485
一點,一點.mp4,維持,平手，指節抖動 3.2°→4.7°,twtsl2_一點.json,0.9529,3.24,69.4,1.586,1.0,4.72,96.9,1.701,1.984-4.285
上班,上班.mp4,換新片,平手，指節抖動 3.9°→2.8°,gs0911_上班.json,1.0,3.89,65.2,2.133,1.0,2.82,153.4,2.402,1.651-4.452
不,不.mp4,換新片,平手，指節抖動 5.3°→2.6°,moc_G2D2P3.json,0.9688,5.33,96.0,1.2,1.0,2.58,206.4,1.801,1.484-3.669
不可以,不可以.mp4,換新片,act +0.06,moc_G1D4P2.json,0.9375,5.33,73.0,1.033,1.0,3.01,208.2,1.051,1.318-2.718
不懂,不懂.mp4,換新片,平手，指節抖動 3.2°→2.8°,moc_G4D2P1.json,0.9512,3.21,66.1,1.56,1.0,2.76,157.5,2.084,1.184-3.602
不知道,不知道.mp4,換新片,平手，指節抖動 12.3°→10.3°,gs0911_不知道.json,0.963,12.35,61.8,1.734,1.0,10.27,149.2,2.034,1.451-3.885
不要,不要.mp4,換新片,平手，指節抖動 5.2°→4.3°,desk0912_不要.json,1.0,5.15,225.4,0.796,1.0,4.3,195.7,1.367,1.184-2.934
人,人.mp4,換新片,平手，指節抖動 3.5°→0.9°,moc_G1D1P1.json,1.0,3.5,81.5,0.4,1.0,0.93,185.2,1.701,2.051-4.169
什麼,什麼.mp4,換新片,平手，指節抖動 3.1°→2.8°,gs0911_什麼.json,1.0,3.1,102.8,1.7,1.0,2.76,208.2,2.168,1.317-3.902
住,住.mp4,換新片,平手，指節抖動 4.5°→3.5°,moc_G4D1P1.json,1.0,4.5,73.3,0.484,0.9615,3.47,177.1,2.134,1.484-3.969
你,你.mp4,換新片,平手，指節抖動 10.2°→2.6°,moc_G1D4P2.json,0.9714,10.17,61.0,1.134,1.0,2.57,97.1,1.151,1.917-3.468
妳,你.mp4,換新片,平手，指節抖動 10.2°→2.6°,moc_G1D4P2.json,0.9714,10.17,61.0,1.134,1.0,2.57,97.1,1.151,1.917-3.468
再,再.mp4,換新片,平手，指節抖動 5.0°→2.6°,gs0911_再.json,1.0,5.05,96.8,1.267,1.0,2.63,204.2,1.434,1.935-3.719
再見,再見.mp4,換新片,平手，指節抖動 2.9°→1.4°,twtsl2_再見.json,0.9905,2.91,121.7,1.786,1.0,1.43,200.9,1.734,1.651-3.752
去,去.mp4,換新片,平手，指節抖動 5.0°→2.6°,gs0911_去.json,1.0,4.97,107.4,1.033,1.0,2.62,162.5,1.551,1.534-3.485
